COURSE,DESTINATION,DWT,ELAPSED,FLAG,GT_SHIPTYPE,HEADING,LAT,LENGTH,LON,L_FORE,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,SPEED,STATUS_NAME,TYPE_IMG,TYPE_NAME,WIDTH,W_LEFT
323,AL SHAHEEN SPM 2,441893,30,MH,56,340,26.588024,380,52.034393,322,0,FSO ASIA,8,712703,0,,,,68,41
190,OMSOH,400440,29,HK,8,104,24.589514,359,56.726486,309,-1,ORE SHANDONG,7,732723,0,,,,64,40
43,,355015,619,TV,56,310,29.123167,334,49.482498,320,,KHALIJ E FARS,8,735258,1,,,,60,32
336,SA RTA,323182,36,MH,17,,27.140158,332,50.259941,282,,SOUTH LOYALTY,8,106766,362,,,,60,34
55,SA RTA,321300,29,MH,17,288,25.769766,333,53.4561,282,0,PLATA SOUTH,8,713172,5,,,,60,30
71,SARTA,321300,30,MT,17,345,26.926167,333,50.041431,275,,ANDROMEDA,8,213628,0,,,,60,23
270,SA RTA,321136,29,IN,17,271,26.364,333,54.277515,279,0,DESH VISHAL,8,656517,130,,,,60,32
314,SARTA,320926,28,SA,17,,25.859898,333,54.203255,283,0,AMZAN,8,756248,118,,,,60,38
256,AEKLF,320596,34,SA,17,169,25.348957,332,56.528118,274,0,HAZM,8,5842469,0,,,,60,28
239,BASRAH,320411,31,IN,17,298,29.702999,333,48.802567,282,0,DESH VIRAAT,8,656429,0,,,,60,29
217,OPL KHOR FAKKAN,320105,30,LR,17,149,25.63205,333,56.906467,279,0,EUROSPIRIT,8,713697,0,,,,60,34
124,FOR ORDERS,320105,28,MH,17,127,23.405903,333,59.694935,283,0,DHT OPAL,8,713465,121,,,,60,25
311,FOR ORDERS,319713,29,MH,17,34,24.028826,336,58.549355,281,0,DHT STALLION,8,5487801,8,,,,60,28
288,KUWAITI FLAG,319704,29,KW,17,288,26.176193,332,53.536926,279,0,AL RIQQA,8,675963,128,,,,60,28
60,CNZHA,319616,29,MH,17,60,25.836535,339,55.482471,283,0,OLYMPIC TRUST,8,714758,138,,,,60,23
343,AESHJ,319547,28,LR,17,285,27.178013,333,56.039227,280,-1,VL PROSPERITY,8,3566635,256,,,,60,21
181,CAPETOWN,319439,32,MH,71,,21.553799,333,59.930233,279,,AS SUWAYQ,8,713756,91,,,,60,31
78,OM MFH,319398,964,GR,17,80,25.655317,336,55.118061,283,0,MARAN APHRODITE,8,5448105,120,,,,60,34
58,OMMFH,319368,62,GR,17,62,23.674688,339,58.545361,284,0,OLYMPIC LEOPARD,8,714788,35,,,,60,23
347,ZA DUR,319329,28,SA,17,118,27.178503,333,56.039246,277,0,FARHAH,8,754403,3,,,,60,33
107,CN HUI,319063,28,MT,17,107,24.364973,333,58.043594,277,0,SEAKING,8,713979,125,,,,60,27
74,AE FJR FOR ORDERS,319000,34,MT,71,100,23.821272,333,61.281879,282,,ZOURVA,8,2874,37,,,,60,28
33,FUJAIRAH,318833,29,GR,17,33,25.164452,333,56.660828,280,0,MARAN LYNX,8,731692,4,,,,60,34
178,QUANZHOU CHINA,318625,34,HK,71,179,26.253952,332,56.650772,277,0,NEW CONSTANT,8,3961882,116,,,,60,34
264,MINA AL AHMADI,318292,38,HK,17,341,29.067953,333,48.172295,282,0,NEW DREAM,8,689860,0,,,,60,38
97,CNZOS,318000,38,SA,17,99,24.010559,332,57.933399,278,0,BAYRAQ,8,5859042,121,,,,60,28
284,IQ BSR,317952,143,LR,17,294,27.14555,333,51.883018,282,0,KALAMOS,8,730165,65,,,,60,38
106,KRONS,317563,29,SA,17,106,25.67021,333,54.526299,278,0,SAHBA,8,372935,116,,,,60,37
308,ORD,317519,33,IR,17,,20.984913,333,63.572552,283,,SEA STAR III,8,768088,120,,,,60,30
248,LARAK OPL,317367,32,IR,17,20,25.679111,333,56.712055,280,,HAWK,8,768120,0,,,,60,30
273,SARTA,316679,201,GR,17,332,23.486029,336,62.234646,282,,APOLYTARES,8,213964,44,,,,60,36
224,SARAR-KUWAITI FLAG,316648,140,KW,17,354,28.451847,333,48.611973,280,,AL FUNTAS,8,676005,0,,,,60,22
158,RAS LAFFAN,316635,645,IN,17,,25.901548,332,51.648315,297,,DESH VIBHOR,8,2601376,115,,,,59,15
353,FOR ORDER,316217,28,IN,17,221,27.179701,333,56.039001,279,0,DESH UJAALA,8,656169,192,,,,60,35
